Season,Team,Budget,position,points,Cost per Point,Cost per Position,predicted_position,predicted_points
2009-2010,Real Madrid,451.7,2,96,4.705208333333333,225.85,6.0,69.94705693069096
2009-2010,Barcelona,515.4,1,99,5.206060606060606,515.4,5.0,74.02528624858635
2009-2010,Valencia,240.0,3,71,3.380281690140845,80.0,9.0,56.393506748611635
2009-2010,Sevilla,218.3,4,63,3.465079365079365,54.575,10.0,55.0042198381198
2009-2010,Ath Madrid,210.8,9,47,4.485106382978723,23.422222222222224,10.0,54.52405155108345
2009-2010,Villarreal,163.7,7,56,2.9232142857142853,23.385714285714283,11.0,51.50859470849518
2009-2010,La Coruna,75.9,10,47,1.6148936170212767,7.590000000000001,12.0,45.88742462825633
2009-2010,Ath Bilbao,100.8,8,54,1.8666666666666667,12.6,12.0,47.48158334121701
2009-2010,Espanol,71.0,11,44,1.6136363636363635,6.454545454545454,12.0,45.57371468072592
2009-2010,Zaragoza,87.25,14,41,2.1280487804878048,6.232142857142857,12.0,46.614079302638004
2009-2010,Racing,66.5,16,39,1.705128205128205,4.15625,12.0,45.28561370850411
2009-2010,Getafe,77.3,6,58,1.3327586206896551,12.883333333333333,12.0,45.97705604183645
2009-2010,Mallorca,65.1,5,62,1.0499999999999998,13.02,12.0,45.19598229492399
2009-2010,Osasuna,60.0,12,43,1.3953488372093024,5.0,13.0,44.869467859739274
2009-2010,Almeria,63.7,13,42,1.5166666666666668,4.9,13.0,45.10635088134387
2009-2010,Malaga,58.6,17,37,1.5837837837837838,3.447058823529412,13.0,44.77983644615915
2009-2010,Valladolid,50.5,18,36,1.4027777777777777,2.8055555555555554,13.0,44.2612546961599
2009-2010,Sp Gijon,55.2,15,40,1.3800000000000001,3.68,13.0,44.56216015603601
2009-2010,Tenerife,34.0,19,36,0.9444444444444444,1.7894736842105263,13.0,43.204884464679935
2009-2010,Xerez,32.5,20,34,0.9558823529411765,1.625,13.0,43.10885080727266
2010-2011,Barcelona,604.7,1,96,6.298958333333334,604.7,3.0,79.74248998623247
2010-2011,Real Madrid,519.0,2,92,5.641304347826087,259.5,5.0,74.2557670263638
2010-2011,Ath Madrid,187.0,7,58,3.2241379310344827,26.714285714285715,10.0,53.000317520221444
2010-2011,Valencia,176.0,3,71,2.4788732394366195,58.666666666666664,11.0,52.2960706992348
2010-2011,Sevilla,175.6,5,58,3.027586206896552,35.12,11.0,52.27046172392619
2010-2011,Villarreal,170.6,4,62,2.7516129032258063,42.65,11.0,51.95034953256862
2010-2011,Ath Bilbao,112.0,6,58,1.9310344827586208,18.666666666666668,12.0,48.19863464985796
2010-2011,Espanol,78.4,8,49,1.6,9.8,12.0,46.04748072393512
2010-2011,Almeria,73.6,20,30,2.453333333333333,3.6799999999999997,12.0,45.74017302023185
2010-2011,Malaga,71.05,11,46,1.5445652173913043,6.459090909090909,12.0,45.57691580263949
2010-2011,Sociedad,66.7,15,45,1.4822222222222223,4.446666666666667,12.0,45.29841819615841
2010-2011,Getafe,66.4,16,44,1.5090909090909093,4.15,12.0,45.27921146467696
2010-2011,La Coruna,63.7,18,43,1.4813953488372094,3.538888888888889,13.0,45.10635088134387
2010-2011,Racing,59.3,12,46,1.2891304347826087,4.941666666666666,13.0,44.82465215294921
2010-2011,Osasuna,57.9,9,47,1.2319148936170212,6.433333333333334,13.0,44.7350207393691
2010-2011,Zaragoza,57.0,13,45,1.2666666666666666,4.384615384615385,13.0,44.67740054492474
2010-2011,Mallorca,53.7,17,44,1.2204545454545455,3.158823529411765,13.0,44.46612649862874
2010-2011,Sp Gijon,53.4,10,47,1.1361702127659574,5.34,13.0,44.446919767147286
2010-2011,Hercules,51.7,19,35,1.4771428571428573,2.7210526315789476,13.0,44.33808162208572
2010-2011,Levante,37.6,14,45,0.8355555555555556,2.685714285714286,13.0,43.43536524245738
2011-2012,Barcelona,618.2,2,91,6.793406593406594,309.1,3.0,80.6067929028979
2011-2012,Real Madrid,539.2,1,100,5.392,539.2,4.0,75.54902027944837
2011-2012,Ath Madrid,210.0,5,56,3.75,42.0,10.0,54.472833600466245
2011-2012,Valencia,181.0,3,61,2.9672131147540983,60.333333333333336,10.0,52.61618289059236
2011-2012,Ath Bilbao,144.2,10,49,2.9428571428571426,14.419999999999998,11.0,50.26015716220068
2011-2012,Villarreal,137.0,18,41,3.341463414634146,7.611111111111111,11.0,49.79919560664578
2011-2012,Sevilla,133.0,9,50,2.66,14.777777777777779,11.0,49.54310585355973
2011-2012,Malaga,121.3,4,58,2.0913793103448275,30.325,11.0,48.79404332578303
2011-2012,Espanol,81.2,14,46,1.7652173913043478,5.8,12.0,46.22674355109535
2011-2012,Sociedad,74.7,12,47,1.5893617021276596,6.2250000000000005,12.0,45.81059770233052
2011-2012,Getafe,70.95,11,47,1.5095744680851064,6.45,12.0,45.570513558812344
2011-2012,Mallorca,62.2,8,52,1.1961538461538461,7.775,13.0,45.0103172239366
2011-2012,Zaragoza,61.0,16,43,1.4186046511627908,3.8125,13.0,44.93349029801079
2011-2012,Granada,60.6,17,42,1.4428571428571428,3.5647058823529414,13.0,44.90788132270218
2011-2012,Sp Gijon,53.4,19,37,1.4432432432432432,2.8105263157894735,13.0,44.446919767147286
2011-2012,Betis,52.7,13,47,1.1212765957446809,4.053846153846154,13.0,44.40210406035723
2011-2012,Vallecano,47.3,15,43,1.0999999999999999,3.1533333333333333,13.0,44.05638289369106
2011-2012,Osasuna,44.4,7,54,0.8222222222222222,6.3428571428571425,13.0,43.87071782270367
2011-2012,Racing,42.6,20,27,1.5777777777777777,2.13,13.0,43.755477433814946
2011-2012,Levante,40.25,6,55,0.7318181818181818,6.708333333333333,13.0,43.60502470387689
2012-2013,Barcelona,586.6,1,100,5.8660000000000005,586.6,3.0,78.58368385351808
2012-2013,Real Madrid,582.4,2,85,6.851764705882353,291.2,3.0,78.31478961277773
2012-2013,Ath Madrid,267.0,3,76,3.513157894736842,89.0,9.0,58.12211258194249
2012-2013,Valencia,172.9,5,65,2.66,34.58,11.0,52.097601140593106
2012-2013,Sevilla,144.8,9,50,2.8960000000000004,16.08888888888889,11.0,50.298570625163585
2012-2013,Malaga,122.9,6,57,2.1561403508771932,20.483333333333334,11.0,48.89647922701745
2012-2013,Ath Bilbao,119.85,12,45,2.663333333333333,9.987499999999999,12.0,48.70121079028933
2012-2013,Sociedad,113.0,4,66,1.7121212121212122,28.25,12.0,48.26265708812947
2012-2013,Granada,72.8,15,42,1.7333333333333332,4.8533333333333335,12.0,45.68895506961464
2012-2013,Getafe,68.3,10,47,1.4531914893617022,6.83,12.0,45.40085409739283
2012-2013,Betis,66.2,7,56,1.1821428571428572,9.457142857142857,12.0,45.266406977022655
2012-2013,Espanol,64.1,13,44,1.4568181818181818,4.93076923076923,12.0,45.13195985665248
2012-2013,Vallecano,49.75,8,53,0.9386792452830188,6.21875,13.0,44.213237867456264
2012-2013,Celta,49.1,17,37,1.327027027027027,2.888235294117647,13.0,44.17162328257978
2012-2013,Mallorca,47.1,18,36,1.3083333333333333,2.6166666666666667,13.0,44.04357840603676
2012-2013,Zaragoza,46.8,20,34,1.3764705882352941,2.34,13.0,44.0243716745553
2012-2013,Osasuna,46.4,16,39,1.1897435897435897,2.9,13.0,43.9987626992467
2012-2013,La Coruna,45.6,19,35,1.302857142857143,2.4,13.0,43.94754474862948
2012-2013,Levante,41.1,11,46,0.8934782608695653,3.7363636363636363,13.0,43.65944377640768
2012-2013,Valladolid,38.8,14,43,0.9023255813953488,2.7714285714285714,13.0,43.512192168383194
2013-2014,Real Madrid,636.8,3,87,7.319540229885057,212.26666666666665,2.0,81.79761025474804
2013-2014,Barcelona,592.2,2,87,6.806896551724138,296.1,3.0,78.94220950783856
2013-2014,Ath Madrid,308.8,1,90,3.4311111111111114,308.8,8.0,60.79825050169174
2013-2014,Valencia,178.8,8,49,3.648979591836735,22.35,10.0,52.47533352639503
2013-2014,Sevilla,141.15,5,63,2.2404761904761905,28.23,11.0,50.064888725472564
2013-2014,Sociedad,136.7,7,59,2.3169491525423727,19.52857142857143,11.0,49.77998887516433
2013-2014,Ath Bilbao,130.7,4,70,1.867142857142857,32.675,11.0,49.39585424553525
2013-2014,Villarreal,77.3,6,59,1.3101694915254236,12.883333333333333,12.0,45.97705604183645
2013-2014,Malaga,62.5,11,45,1.3888888888888888,5.681818181818182,13.0,45.02952395541806
2013-2014,Betis,58.6,20,25,2.344,2.93,13.0,44.77983644615915
2013-2014,Granada,57.48,15,41,1.401951219512195,3.832,13.0,44.70813131529506
2013-2014,Getafe,55.9,13,42,1.3309523809523809,4.3,13.0,44.60697586282607
2013-2014,Espanol,51.3,14,42,1.2214285714285713,3.664285714285714,13.0,44.31247264677711
2013-2014,Celta,49.9,9,49,1.0183673469387755,5.544444444444444,13.0,44.22284123319699
2013-2014,Vallecano,46.1,12,43,1.072093023255814,3.841666666666667,13.0,43.97955596776524
2013-2014,Elche,44.6,16,40,1.115,2.7875,13.0,43.883522310357975
2013-2014,Levante,42.4,10,48,0.8833333333333333,4.24,13.0,43.742672946160646
2013-2014,Osasuna,42.3,18,39,1.0846153846153845,2.3499999999999996,13.0,43.73627070233349
2013-2014,Valladolid,41.2,19,36,1.1444444444444446,2.168421052631579,13.0,43.665846020234824
2013-2014,Almeria,36.45,17,40,0.9112500000000001,2.144117647058824,13.0,43.36173943844514
2014-2015,Real Madrid,788.8,2,92,8.57391304347826,394.4,1.0,91.52902087201804
