Season,Team,points,Cost per Point,predicted_points
2009-2010,Real Madrid,96,4.705208333333333,69.94705693069096
2009-2010,Barcelona,99,5.206060606060606,74.02528624858635
2009-2010,Valencia,71,3.380281690140845,56.393506748611635
2009-2010,Sevilla,63,3.465079365079365,55.0042198381198
2009-2010,Ath Madrid,47,4.485106382978723,54.52405155108345
2009-2010,Villarreal,56,2.9232142857142853,51.50859470849518
2009-2010,La Coruna,47,1.6148936170212767,45.88742462825633
2009-2010,Ath Bilbao,54,1.8666666666666667,47.48158334121701
2009-2010,Espanol,44,1.6136363636363635,45.57371468072592
2009-2010,Zaragoza,41,2.1280487804878048,46.614079302638004
2009-2010,Racing,39,1.705128205128205,45.28561370850411
2009-2010,Getafe,58,1.3327586206896551,45.97705604183645
2009-2010,Mallorca,62,1.0499999999999998,45.19598229492399
2009-2010,Osasuna,43,1.3953488372093024,44.869467859739274
2009-2010,Almeria,42,1.5166666666666668,45.10635088134387
2009-2010,Malaga,37,1.5837837837837838,44.77983644615915
2009-2010,Valladolid,36,1.4027777777777777,44.2612546961599
2009-2010,Sp Gijon,40,1.3800000000000001,44.56216015603601
2009-2010,Tenerife,36,0.9444444444444444,43.204884464679935
2009-2010,Xerez,34,0.9558823529411765,43.10885080727266
2010-2011,Barcelona,96,6.298958333333334,79.74248998623247
2010-2011,Real Madrid,92,5.641304347826087,74.2557670263638
2010-2011,Ath Madrid,58,3.2241379310344827,53.000317520221444
2010-2011,Valencia,71,2.4788732394366195,52.2960706992348
2010-2011,Sevilla,58,3.027586206896552,52.27046172392619
2010-2011,Villarreal,62,2.7516129032258063,51.95034953256862
2010-2011,Ath Bilbao,58,1.9310344827586208,48.19863464985796
2010-2011,Espanol,49,1.6,46.04748072393512
2010-2011,Almeria,30,2.453333333333333,45.74017302023185
2010-2011,Malaga,46,1.5445652173913043,45.57691580263949
2010-2011,Sociedad,45,1.4822222222222223,45.29841819615841
2010-2011,Getafe,44,1.5090909090909093,45.27921146467696
2010-2011,La Coruna,43,1.4813953488372094,45.10635088134387
2010-2011,Racing,46,1.2891304347826087,44.82465215294921
2010-2011,Osasuna,47,1.2319148936170212,44.7350207393691
2010-2011,Zaragoza,45,1.2666666666666666,44.67740054492474
2010-2011,Mallorca,44,1.2204545454545455,44.46612649862874
2010-2011,Sp Gijon,47,1.1361702127659574,44.446919767147286
2010-2011,Hercules,35,1.4771428571428573,44.33808162208572
2010-2011,Levante,45,0.8355555555555556,43.43536524245738
2011-2012,Barcelona,91,6.793406593406594,80.6067929028979
2011-2012,Real Madrid,100,5.392,75.54902027944837
2011-2012,Ath Madrid,56,3.75,54.472833600466245
2011-2012,Valencia,61,2.9672131147540983,52.61618289059236
2011-2012,Ath Bilbao,49,2.9428571428571426,50.26015716220068
2011-2012,Villarreal,41,3.341463414634146,49.79919560664578
